# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	726
#@/user_id	14dcda44-4cf5-46d6-81f2-e31514a0ac9f
a 	啊	c=9 d=6.46675 t=726
an 	按	c=1 d=0.822835 t=726
ba 	吧	c=3 d=2.75022 t=726
ba 	把	c=3 d=2.49003 t=726
bai cang you 	白苍油	c=1 d=0.878095 t=726
ban tian 	半天	c=1 d=0.937067 t=726
bang ding 	绑定	c=1 d=0.847894 t=726
bao zhu 	宝珠	c=2 d=1.98506 t=726
bei 	倍	c=2 d=1.57609 t=726
bei 	被	c=3 d=2.56483 t=726
bei jian 	背键	c=1 d=0.960789 t=726
ben ren 	本人	c=1 d=0.951229 t=726
bi 	比	c=1 d=0.891366 t=726
bi jiao 	比较	c=1 d=0.873716 t=726
bi jiao dan 	比较淡	c=1 d=0.882497 t=726
bi jiao shuang 	比较爽	c=1 d=0.869358 t=726
bi jing 	毕竟	c=1 d=0.891366 t=726
bi wo 	比我	c=1 d=0.900325 t=726
bian xie 	编写	c=2 d=1.82387 t=726
bian yu 	便于	c=0 d=0.0826959 t=726
bo ni si 	柏妮思	c=4 d=3.04465 t=726
bo ni si 	柏妮斯	c=-2 d=1.68312 t=726
bu ai 	不爱	c=0 d=0.0960789 t=726
bu ai yong 	不爱用	c=1 d=0.965605 t=726
bu chi 	不迟	c=1 d=0.913931 t=726
bu dao 	不到	c=1 d=0.786628 t=726
bu li ni 	不理你	c=1 d=0.985112 t=726
bu neng mai 	不能买	c=1 d=0.951229 t=726
bu neng yong 	不能用	c=1 d=0.937067 t=726
bu rong yi 	不容易	c=2 d=1.9216 t=726
bu shua xin 	不刷新	c=1 d=0.985112 t=726
bu xiang song 	不想送	c=1 d=0.97531 t=726
bu xing 	不行	c=1 d=0.782705 t=726
bu zen me 	不怎么	c=1 d=0.955997 t=726
bu zhi dao 	不知道	c=1 d=1.02397 t=726
cai wu zi you 	财务自由	c=1 d=0.843665 t=726
can 	惨	c=1 d=0.774916 t=726
can shu 	参数	c=3 d=2.60236 t=726
cang bai 	苍白	c=0 d=0.0900325 t=726
cang bai you 	苍白油	c=2 d=1.8676 t=726
cao zuo 	操作	c=1 d=0.960789 t=726
ce shi 	测试	c=5 d=3.9072 t=726
cha 	差	c=1 d=0.99005 t=726
cha bu tai duo 	差不太多	c=1 d=0.852144 t=726
